Resumo geral;Pagamentos pendentes;Pagamentos finalizados;Valor total
 ;$ 0,00;$ 55.875,19;$ 55.875,19
Descrição;Veículo;Fornecedor;Funcionário;Viagem;Data de cadastro;Data de vencimento;Data de pagamento;Valor total;Pago?
MULTA;BAV6C31 - VW/8.160 DRC 4X2;DETRAN MT;"";"";08/10/2025 02:31:00;26/08/2025 14:46:00;26/08/2025 14:51:00;$ 260,32;O
"";ID;Item;Quantidade;Valor unitário;Valor total
"";33039;MULTA POR NAO IDENTIFICAR O CONDUTOR INFRATOR;1;$ 260,32;$ 260,32
TAXA TRANSFERENCIA;LKQ-1G03 - VW/8.120 EURO3;DETRAN MT;"";"";18/09/2025 14:58:00;19/09/2025 14:58:00;20/09/2025 08:54:00;$ 480,00;O
"";ID;Item;Quantidade;Valor unitário;Valor total
"";33823;Laudo / Homologação de Vistoria Veicular;1;$ 32,34;$ 32,34
"";33824; Transf/1º Emplacamento/Emissão de CRVe;1;$ 306,85;$ 306,85
"";33825;Art 233 CTB  Deixar de reg veic até 30 DIAS;1;$ 140,81;$ 140,81
Compra de peças;QTW4D43 - TOYOTA/HILUX CSLSTM4FD;RODOBENS COMERCIO E LOCAÇÃO DE VEICULOS LTDA;"";"";09/09/2025 15:29:00;09/09/2025 16:28:00;09/09/2025 16:28:00;$ 756,04;O
"";ID;Item;Quantidade;Valor unitário;Valor total
"";33715;conjunto de trava capo;1;$ 479,49;$ 479,49
"";33716;cabo da trava do capo;1;$ 276,55;$ 276,55
COMPRA DE PEÇAS- FILTRO DO OLEO;BDX-9H60 - VW/9.170 DRC 4X2;JS Distribuidora de Peças S.A. ;"";"";08/09/2025 13:49:00;06/11/2025 13:49:00;11/09/2025 13:49:00;$ 570,73;O
"";ID;Item;Quantidade;Valor unitário;Valor total
"";33574;COMPRA DE FILTRO DO OLEO;1;$ 570,73;$ 570,73
COMPRA DE PEÇAS- OLEO;BDX-9H60 - VW/9.170 DRC 4X2;Claudio Peças;"";"";08/09/2025 13:45:00;08/09/2025 13:45:00;09/09/2025 13:40:00;$ 380,00;O
"";ID;Item;Quantidade;Valor unitário;Valor total
"";32807;COMPRA DE LUBRIFICANTE;1;$ 380,00;$ 380,00
COMPRA DE PEÇAS- OLEO;"";Claudio Peças;"";"";08/09/2025 13:22:00;07/11/2025 13:22:00;11/09/2025 13:22:00;$ 380,00;O
"";ID;Item;Quantidade;Valor unitário;Valor total
"";33572;COMPRA DE OLEO/GALAO 20L;1;$ 380,00;$ 380,00
